poi,presenze,year,month,day,doy,dow,week,hour,holiday,festive,temperature,humidity,pressure,wind,rain
42,2,2014,1,25,25,6,4,2,1,0,6.43,65.47,1008.12,3.92,1.46
42,1,2014,1,26,26,7,4,0,1,0,4.41,72.25,1007.48,4.25,0.03
42,3,2014,1,26,26,7,4,1,1,0,8.34,60.17,1006.81,5.37,0.1
42,1,2014,1,26,26,7,4,2,1,0,7.86,61.27,1006.56,3.93,0.16
42,1,2014,1,27,27,1,5,1,0,0,6.56,70.86,996.2,3.92,0.46
42,1,2014,1,27,27,1,5,2,0,0,5.09,82.63,995.97,3.42,1.56
42,1,2014,1,28,28,2,5,0,0,0,4.89,81.3,998.37,4.66,4.22
42,2,2014,1,28,28,2,5,1,0,0,5.97,76.84,997.52,5.08,4.61
42,1,2014,1,28,28,2,5,2,0,0,5.08,78.46,997.59,3.54,4.94
42,1,2014,1,29,29,3,5,1,0,0,6.04,71.05,1003.0,4.61,0.5
42,1,2014,1,30,30,4,5,2,0,0,5.79,89.75,1006.41,8.06,18.76
42,2,2014,1,31,31,5,5,1,0,0,7.21,92.67,1010.54,4.08,20.76
42,1,2014,1,31,31,5,5,2,0,0,7.04,92.78,1011.53,4.23,24.39
42,1,2014,2,1,32,6,5,0,1,0,8.2,92.5,1009.68,4.0,9.77
42,4,2014,2,1,32,6,5,1,1,0,8.54,91.68,1006.73,4.07,11.41
42,1,2014,2,1,32,6,5,2,1,0,8.24,92.48,1005.92,4.01,12.73
42,1,2014,2,2,33,7,5,0,1,0,7.75,93.08,1006.91,3.69,5.53
42,1,2014,2,2,33,7,5,1,1,0,8.27,92.72,1005.52,4.54,6.88
42,1,2014,2,3,34,1,6,1,0,0,8.02,90.69,1011.75,4.87,14.33
42,1,2014,2,3,34,1,6,2,0,0,7.86,91.26,1011.75,4.18,16.14
42,1,2014,2,4,35,2,6,0,0,0,6.81,91.94,1014.38,4.2,7.83
42,1,2014,2,4,35,2,6,1,0,0,7.58,90.69,1014.09,3.92,9.61
42,1,2014,2,5,36,3,6,1,0,0,8.27,88.92,1009.0,3.33,1.33
42,1,2014,2,5,36,3,6,2,0,0,7.9,87.91,1007.12,3.46,2.27
42,2,2014,2,6,37,4,6,1,0,0,10.7,72.12,1012.4,5.65,3.31
42,1,2014,2,6,37,4,6,2,0,0,10.26,73.18,1012.73,3.25,3.44
42,1,2014,2,7,38,5,6,0,0,0,8.49,83.07,1012.97,4.34,0.42
42,2,2014,2,7,38,5,6,1,0,0,8.96,82.17,1010.75,5.92,1.31
42,1,2014,2,8,39,6,6,0,1,0,8.59,85.17,1009.37,3.39,1.19
42,3,2014,2,8,39,6,6,1,1,0,9.47,81.13,1007.63,4.32,1.48
42,1,2014,2,8,39,6,6,2,1,0,8.63,84.29,1006.62,3.45,1.9
42,1,2014,2,9,40,7,6,0,1,0,7.42,86.58,1001.02,5.73,9.31
42,2,2014,2,9,40,7,6,1,1,0,9.36,76.99,999.66,8.19,10.08
42,1,2014,2,9,40,7,6,2,1,0,9.05,72.96,1002.01,5.7,10.57
42,2,2014,2,10,41,1,7,1,0,0,6.48,88.88,1002.07,8.9,9.03
42,1,2014,2,10,41,1,7,2,0,0,6.63,88.12,1001.0,9.17,12.34
42,1,2014,2,11,42,2,7,0,0,0,7.9,88.78,1003.69,3.21,2.53
42,2,2014,2,11,42,2,7,1,0,0,8.98,85.15,1002.72,3.28,3.08
42,1,2014,2,11,42,2,7,2,0,0,8.64,85.46,1002.35,3.08,3.58
42,2,2014,2,12,43,3,7,1,0,0,11.59,61.68,1005.32,5.11,0.7
42,1,2014,2,12,43,3,7,2,0,0,10.58,66.14,1006.77,2.96,0.83
42,1,2014,2,13,44,4,7,1,0,0,9.38,73.98,1009.83,4.71,0.23
42,1,2014,2,13,44,4,7,2,0,0,8.19,82.39,1006.61,4.65,1.1
42,1,2014,2,14,45,5,7,0,0,1,9.25,73.36,1011.39,4.83,0.35
42,2,2014,2,14,45,5,7,1,0,1,12.09,57.11,1011.7,4.53,0.57
42,1,2014,2,14,45,5,7,2,0,1,10.16,67.82,1012.68,3.04,0.65
42,2,2014,2,15,46,6,7,0,1,0,8.98,73.0,1015.62,2.93,0.08
42,4,2014,2,15,46,6,7,1,1,0,9.79,71.43,1014.74,2.9,0.16
42,2,2014,2,15,46,6,7,2,1,0,9.42,76.38,1014.72,2.51,0.27
42,1,2014,2,16,47,7,7,0,1,0,9.56,83.32,1013.81,3.39,0.32
42,3,2014,2,16,47,7,7,1,1,0,10.47,81.97,1011.13,3.26,0.46
42,2,2014,2,16,47,7,7,2,1,0,10.33,83.32,1010.54,2.62,0.51
42,1,2014,2,17,48,1,8,1,0,0,11.3,79.99,1012.98,5.27,8.02
42,1,2014,2,17,48,1,8,2,0,0,10.88,79.04,1014.57,3.48,7.36
42,1,2014,2,18,49,2,8,0,0,0,10.19,79.69,1019.94,3.73,0.04
42,1,2014,2,18,49,2,8,1,0,0,11.51,74.34,1019.17,3.59,0.04
42,1,2014,2,18,49,2,8,2,0,0,11.24,76.29,1016.62,2.88,0.07
42,1,2014,2,19,50,3,8,0,0,0,10.37,89.04,1012.37,5.9,3.35
42,1,2014,2,19,50,3,8,1,0,0,10.61,88.94,1010.1,4.81,4.21
42,1,2014,2,19,50,3,8,2,0,0,9.91,90.61,1008.03,3.47,6.38
42,1,2014,2,20,51,4,8,0,0,0,6.71,84.88,1012.48,2.41,4.47
42,1,2014,2,20,51,4,8,1,0,0,10.39,81.87,1012.89,4.61,3.57
42,1,2014,2,20,51,4,8,2,0,0,9.88,83.11,1012.57,3.19,3.77
42,1,2014,2,21,52,5,8,0,0,0,10.68,77.56,1009.41,3.17,0.67
42,3,2014,2,21,52,5,8,1,0,0,12.35,70.1,1008.26,4.16,0.73
42,2,2014,2,21,52,5,8,2,0,0,11.48,73.78,1008.21,3.05,0.95
42,1,2014,2,22,53,6,8,0,1,0,9.93,74.4,1012.73,5.86,6.21
42,4,2014,2,22,53,6,8,1,1,0,10.36,70.54,1012.77,5.77,6.71
42,2,2014,2,22,53,6,8,2,1,0,9.71,71.54,1011.78,4.32,6.71
42,2,2014,2,23,54,7,8,0,1,0,8.92,69.37,1020.83,4.2,0.25
42,4,2014,2,23,54,7,8,1,1,0,11.46,57.77,1019.29,5.24,0.45
42,2,2014,2,23,54,7,8,2,1,0,10.63,59.47,1018.04,3.8,0.55
42,2,2014,2,24,55,1,9,1,0,0,12.6,51.84,1018.65,4.53,0.24
42,1,2014,2,24,55,1,9,2,0,0,11.53,56.48,1018.3,3.43,0.28
42,1,2014,2,25,56,2,9,0,0,0,9.9,64.8,1017.19,2.87,0.02
42,3,2014,2,25,56,2,9,1,0,0,12.23,56.12,1015.74,4.34,0.02
42,2,2014,2,25,56,2,9,2,0,0,11.29,60.56,1015.12,3.14,0.02
42,1,2014,2,26,57,3,9,0,0,0,10.23,73.25,1019.06,4.72,1.24
42,3,2014,2,26,57,3,9,1,0,0,10.61,72.88,1018.49,4.67,1.89
42,1,2014,2,26,57,3,9,2,0,0,9.39,80.73,1017.76,3.69,2.87
42,1,2014,2,27,58,4,9,0,0,0,9.26,79.88,1020.05,3.12,0.81
42,3,2014,2,27,58,4,9,1,0,0,10.92,71.55,1018.06,4.55,0.95
42,1,2014,2,27,58,4,9,2,0,0,9.4,76.13,1016.56,3.15,1.23
42,1,2014,2,28,59,5,9,0,0,0,9.33,76.51,1010.7,4.07,0.57
42,3,2014,2,28,59,5,9,1,0,0,10.23,70.57,1008.51,4.22,0.73
42,2,2014,2,28,59,5,9,2,0,0,9.0,75.8,1006.62,4.43,1.12
42,4,2014,3,1,60,6,9,0,1,0,8.29,80.62,999.36,10.13,5.82
42,3,2014,3,1,60,6,9,1,1,0,8.35,82.36,997.83,9.66,8.63
42,3,2014,3,1,60,6,9,2,1,0,7.82,83.54,996.51,8.99,14.03
42,1,2014,3,2,61,7,9,0,1,1,8.27,80.68,998.22,5.03,5.51
42,2,2014,3,2,61,7,9,1,1,1,9.86,74.85,998.99,4.48,6.27
42,2,2014,3,3,62,1,10,1,0,0,11.16,67.22,993.65,4.59,0.48
42,1,2014,3,3,62,1,10,2,0,0,9.86,73.79,993.34,4.34,1.01
42,1,2014,3,4,63,2,10,0,0,1,8.92,73.93,993.71,9.38,4.29
42,2,2014,3,4,63,2,10,1,0,1,10.79,65.03,994.34,8.09,5.0
42,1,2014,3,4,63,2,10,2,0,1,10.18,67.94,996.64,5.16,5.49
42,1,2014,3,5,64,3,10,0,0,0,12.0,59.49,1008.28,4.93,0.9
42,2,2014,3,5,64,3,10,1,0,0,13.42,54.16,1008.47,6.16,0.97
42,2,2014,3,5,64,3,10,2,0,0,12.62,57.2,1009.39,5.28,1.12
42,1,2014,3,6,65,4,10,0,0,0,11.8,54.57,1017.34,5.74,0.46
42,1,2014,3,6,65,4,10,1,0,0,14.69,44.5,1017.14,6.4,0.57
42,2,2014,3,6,65,4,10,2,0,0,13.37,50.25,1017.84,4.48,0.68
42,1,2014,3,7,66,5,10,0,0,0,13.07,55.7,1020.69,5.67,0.23
42,3,2014,3,7,66,5,10,1,0,0,15.25,49.73,1018.95,6.17,0.08
42,1,2014,3,7,66,5,10,2,0,0,14.26,54.47,1018.84,4.61,0.24
42,1,2014,3,8,67,6,10,0,1,0,12.86,57.31,1025.21,7.42,0.11
42,3,2014,3,8,67,6,10,1,1,0,14.52,51.76,1025.33,7.46,0.15
42,3,2014,3,8,67,6,10,2,1,0,12.89,55.68,1025.95,5.14,0.16
42,1,2014,3,9,68,7,10,0,1,0,13.1,54.25,1027.75,5.69,0.03
42,3,2014,3,9,68,7,10,1,1,0,15.38,46.28,1025.85,5.87,0.07
42,1,2014,3,9,68,7,10,2,1,0,14.48,48.55,1023.53,4.7,0.14
42,1,2014,3,10,69,1,11,2,0,0,12.79,51.69,1018.27,5.5,0.23
42,2,2014,3,11,70,2,11,1,0,0,13.25,49.73,1021.73,6.08,0.2
42,1,2014,3,11,70,2,11,2,0,0,12.43,51.09,1020.52,4.26,0.24
